company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Markel,335,106.0,9526.2,1790.5,18600,Financials,Glen Allen,VA,no,no,no,yes,441.0,Thomas S. Gayner/Richard R. Whitt III,https://www.markelcorp.com,MKL,12787.1
Jones Financial (Edward Jones),336,20.0,9526.0,1092.0,49000,Financials,Des Peres,MO,no,no,yes,yes,356.0,Penny Pennington,https://www.edwardjones.com/index.html,,-
Hormel Foods,337,-9.0,9497.3,978.8,18800,"Food, Beverages & Tobacco",Austin,MN,no,no,no,yes,328.0,James P. Snee,https://www.hormelfoods.com,HRL,25081.9
Hilton Worldwide Holdings,338,7.0,9452.0,881.0,173000,"Hotels, Restaurants & Leisure",McLean,VA,no,no,no,yes,345.0,Christopher J. Nassetta,https://www.hilton.com,HLT,29881
Univar Solutions,339,14.0,9443.8,-100.2,10300,Wholesalers,Downers Grove,IL,no,no,no,no,353.0,David C. Jukes,https://www.univarsolutions.com,UNVR,1810.4
United Rentals,340,39.0,9351.0,1174.0,19100,Business Services,Stamford,CT,no,no,no,yes,379.0,Matthew Flannery,https://www.unitedrentals.com,URI,12557
Pioneer Natural Resources,341,-8.0,9304.0,756.0,2323,Energy,Irving,TX,no,no,no,yes,333.0,Scott D. Sheffield,https://www.pxd.com,PXD,11624.9
Delek US Holdings,342,-35.0,9298.2,310.6,3707,Energy,Brentwood,TN,no,no,no,yes,307.0,Ezra Uzi Yemin,https://www.delekus.com,DK,1190.1
Eastman Chemical,343,-30.0,9273.0,759.0,14500,Chemicals,Kingsport,TN,no,no,no,yes,313.0,Mark J. Costa,https://www.eastman.com,EMN,6330
EMCOR Group,344,31.0,9174.6,325.1,36000,Engineering & Construction,Norwalk,CT,no,no,no,yes,375.0,Anthony J. Guzzi,https://www.emcorgroup.com,EME,3449.8
Avis Budget Group,345,-7.0,9172.0,302.0,25600,Retailing,Parsippany,NJ,no,no,no,yes,338.0,Joseph A. Ferraro,https://www.avisbudgetgroup.com,CAR,966.6
J.B. Hunt Transport Services,346,8.0,9165.3,516.3,29056,Transportation,Lowell,AR,no,no,no,yes,354.0,John N. Roberts III,https://www.jbhunt.com,JBHT,9800.3
Xerox Holdings,347,-29.0,9145.0,1353.0,27000,Technology,Norwalk,CT,no,no,no,yes,318.0,John G. Visentin,https://www.xerox.com,XRX,4030.2
Wayfair,348,98.0,9127.1,-984.6,16985,Retailing,Boston,MA,no,yes,no,no,446.0,Niraj S. Shah,https://www.wayfair.com,W,29247
KKR,349,0.0,9120.3,2005.0,1384,Financials,New York,NY,yes,no,no,yes, ,Henry R. Kravis/George R. Roberts,https://www.kkr.com,KKR,19912.6
AGCO,350,-15.0,9041.4,125.2,20961,Industrials,Duluth,GA,no,no,no,yes,335.0,Eric P. Hansotia,https://www.agcocorp.com,AGCO,3546.3
Alleghany,351,86.0,9040.7,857.8,10786,Financials,New York,NY,no,no,no,yes,437.0,Weston M. Hicks,https://www.alleghany.com,Y,7923.5
Icahn Enterprises,352,-186.0,8992.0,-1098.0,28033,Financials,New York,NY,no,no,no,no,166.0,Keith Cozza,https://www.ielp.com,IEP,10365.7
Voya Financial,353,-10.0,8942.0,-351.0,6000,Financials,New York,NY,no,no,no,no,343.0,Rodney O. Martin Jr.,https://www.voya.com,VOYA,5366.2
Ryder System,354,9.0,8925.8,-24.4,39900,Transportation,Miami,FL,no,no,no,no,363.0,Robert E. Sanchez,https://www.ryder.com,R,3748
Air Products & Chemicals,355,-11.0,8918.9,1760.0,17570,Chemicals,Allentown,PA,no,no,no,yes,344.0,Seifi Ghasemi,https://www.airproducts.com,APD,44049.6
Mosaic,356,-31.0,8906.3,-1067.4,12600,Chemicals,Tampa,FL,no,no,no,no,325.0,James C. O'Rourke,https://www.mosaicco.com,MOS,4098.2
Huntington Ingalls Industries,357,14.0,8899.0,549.0,42000,Aerospace & Defense,Newport News,VA,no,no,no,yes,371.0,C. Michael Petters,https://www.huntingtoningalls.com,HII,7420.3
Berry Global Group,358,31.0,8878.0,404.0,48000,Materials,Evansville,IN,no,no,no,yes,389.0,Thomas E. Salmon,https://www.berryglobal.com,BERY,4463
Anixter International,359,5.0,8845.6,262.9,9400,Wholesalers,Glenview,IL,no,no,no,yes,364.0,William A. Galvin,https://www.anixter.com,,2972.7
Alaska Air Group,360,8.0,8781.0,769.0,24134,Transportation,Seattle,WA,no,no,no,yes,368.0,Bradley D. Tilden,https://www.alaskaair.com,ALK,3490
Yum China Holdings,361,1.0,8776.0,713.0,450000,"Hotels, Restaurants & Leisure",Plano,TX,no,no,yes,yes,362.0,Joey Wat,https://ir.yumchina.com,YUMC,16033.2
Dick&#8217;s Sporting Goods,362,-3.0,8750.7,297.5,28450,Retailing,Coraopolis,PA,no,no,yes,yes,359.0,Lauren R. Hobart,https://www.dickssportinggoods.com,DKS,1848.3
Caesars Holdings,363,2.0,8742.0,-1195.0,64000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no,365.0,Thomas R. Reeg,https://www.caesars.com,,4612.1
Genworth Financial,364,-4.0,8681.0,343.0,3100,Financials,Richmond,VA,no,no,no,yes,360.0,Thomas J. McInerney,https://www.genworth.com,GNW,1675.8
Targa Resources,365,-63.0,8671.1,-209.2,2680,Energy,Houston,TX,no,no,no,no,302.0,Matthew Meloy,https://www.targaresources.com,TRGP,1610.8
Coty,366,-32.0,8648.5,-3784.2,19000,Household Products,New York,NY,no,no,yes,no,334.0,Sue Y. Nabi,https://www.coty.com,COTY,3924.4
Dana,367,6.0,8620.0,226.0,36300,Motor Vehicles & Parts,Maumee,OH,no,no,no,yes,373.0,James K. Kamsickas,https://www.dana.com,DAN,1128.2
Thrivent Financial for Lutherans,368,-17.0,8611.7,968.1,3235,Financials,Minneapolis,MN,no,no,yes,yes,351.0,Teresa J. Rasmussen,https://www.thrivent.com,,
Autoliv,369,-48.0,8547.6,461.5,61957,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,321.0,Mikael Bratt,https://www.autoliv.com,ALV,4017.4
SpartanNash,370,7.0,8536.1,5.7,13800,Wholesalers,Byron Center,MI,no,no,no,yes,377.0,Tony B. Sarsam,https://www.spartannash.com,SPTN,520.5
Eversource Energy,371,-13.0,8526.5,909.1,8234,Energy,Springfield,MA,no,no,no,yes,358.0,James J. Judge,https://www.eversource.com,ES,25835.3
Darden Restaurants,372,4.0,8510.4,713.4,184514,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes,376.0,Eugene I. Lee Jr.,https://www.darden.com,DRI,6580
Chesapeake Energy,373,-64.0,8489.0,-308.0,2300,Energy,Oklahoma City,OK,no,no,no,no,309.0,Robert D. Lawler,https://www.chk.com,CHKAQ,337.7
NOV,374,-17.0,8479.0,-6095.0,34645,Energy,Houston,TX,no,no,no,no,357.0,Clay C. Williams,https://www.nov.com,NOV,3793.9
Fidelity National Financial,375,27.0,8469.0,1062.0,23484,Financials,Jacksonville,FL,no,no,no,yes,402.0,Raymond R. Quirk,https://www.fnf.com,FNF,6854.3
Erie Insurance Group,376,5.0,8443.3,551.0,5778,Financials,Erie,PA,no,no,no,yes,381.0,Timothy G. NeCastro,https://www.erieinsurance.com,,
Oshkosh,377,18.0,8382.0,579.4,15400,Industrials,Oshkosh,WI,no,no,no,yes,395.0,Wilson R. Jones,https://www.oshkoshcorp.com,OSK,6517
Casey&#8217;s General Stores,378,30.0,8364.9,203.9,26866,Retailing,Ankeny,IA,no,no,no,yes,408.0,Darren M. Rebelez,https://www.caseys.com,CASY,4874.8
WESCO International,379,-9.0,8358.9,223.4,9500,Wholesalers,Pittsburgh,PA,no,no,no,yes,370.0,John J. Engel,https://www.wesco.com,WCC,4294
Tractor Supply,380,8.0,8351.9,562.4,24000,Retailing,Brentwood,TN,no,no,no,yes,388.0,Harry A. Lawton III,https://www.tractorsupply.com,TSCO,9809.9
CommScope Holding,381,0.0,8345.1,-929.5,30000,Technology,Hickory,NC,yes,no,no,no, ,Charles L. Treadway,https://www.commscope.com,COMM,1779
Huntsman,382,-106.0,8342.0,562.0,10000,Chemicals,The Woodlands,TX,no,no,no,yes,276.0,Peter R. Huntsman,https://www.huntsman.com,HUN,3217.2
American Financial Group,383,44.0,8237.0,897.0,7700,Financials,Cincinnati,OH,no,no,no,yes,427.0,Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,AFG,6331
Masco,384,-18.0,8235.0,935.0,22000,Household Products,Livonia,MI,no,no,no,yes,366.0,Keith J. Allman,https://www.masco.com,MAS,9118
Sanmina,385,44.0,8233.9,141.5,38500,Technology,San Jose,CA,no,no,no,yes,429.0,Jure Sola,https://www.sanmina.com,SANM,1927.2
Amphenol,386,-17.0,8225.4,1155.0,74000,Technology,Wallingford,CT,no,no,no,yes,369.0,R. Adam Norwitt,https://www.amphenol.com,APH,21725.6
Williams,387,-39.0,8201.0,850.0,4812,Energy,Tulsa,OK,no,no,no,yes,348.0,Alan S. Armstrong,https://www.williams.com,WMB,17165.7
Westinghouse Air Brake,388,0.0,8200.0,326.7,27500,Industrials,Pittsburgh,PA,yes,no,no,yes, ,Rafael O. Santana,https://www.wabteccorp.com,WAB,9227.1
Expeditors Intl. of Washington,389,-15.0,8175.4,590.4,18000,Transportation,Seattle,WA,no,no,no,yes,374.0,Jeffrey S. Musser,https://www.expeditors.com,EXPD,11208.2
Andersons,390,0.0,8170.2,18.3,2284,"Food, Beverages & Tobacco",Maumee,OH,yes,no,no,yes, ,Patrick E. Bowe,https://www.andersonsinc.com,ANDE,628.7
Westlake Chemical,391,-39.0,8118.0,421.0,9430,Chemicals,Houston,TX,no,no,no,yes,352.0,Albert Yuan Chao,https://www.westlake.com,WLK,4900.8
Constellation Brands,392,11.0,8116.0,3435.9,9800,"Food, Beverages & Tobacco",Victor,NY,no,no,no,yes,403.0,William A. Newlands,https://www.cbrands.com,STZ,27601.3
Frontier Communications,393,-38.0,8107.0,-5911.0,18317,Telecommunications,Norwalk,CT,no,no,no,no,355.0,Nicholas Jeffery,https://www.frontier.com,FTRCQ,39.9
JetBlue Airways,394,5.0,8094.0,569.0,19032,Transportation,Long Island City,NY,no,no,no,yes,399.0,Robin Hayes,https://www.jetblue.com,JBLU,2525.7
Citizens Financial Group,395,20.0,8066.0,1791.0,17997,Financials,Providence,RI,no,no,no,yes,415.0,Bruce W. Van Saun,https://www.citizensbank.com,CFG,8040
Raymond James Financial,396,11.0,8023.0,1034.0,14200,Financials,St. Petersburg,FL,no,no,no,yes,407.0,Paul C. Reilly,https://www.raymondjames.com,RJF,14236
Foot Locker,397,-12.0,8005.0,491.0,33294,Retailing,New York,NY,no,no,no,yes,385.0,Richard A. Johnson,https://www.footlocker-inc.com,FL,2297.4
Hershey,398,-7.0,7986.3,1149.7,15330,"Food, Beverages & Tobacco",Hershey,PA,no,no,yes,yes,391.0,Michele G. Buck,https://www.thehersheycompany.com,HSY,27791.8
Zimmer Biomet Holdings,399,-12.0,7982.2,1131.6,19900,Health Care,Warsaw,IN,no,no,no,yes,387.0,Bryan C. Hanson,https://www.zimmerbiomet.com,ZBH,20891.4
Cincinnati Financial,400,0.0,7924.2,1997.4,5200,Financials,Fairfield,OH,yes,no,no,yes, ,Steven J. Johnston,https://www.cinfin.com,CINF,12241.5
Western & Southern Financial Group,401,20.0,7920.5,244.9,2787,Financials,Cincinnati,OH,no,no,no,yes,421.0,John F. Barrett,https://www.westernsouthern.com,,
W.R. Berkley,402,-5.0,7902.2,681.9,7493,Financials,Greenwich,CT,no,no,no,yes,397.0,W. Robert Berkley Jr.,https://www.berkley.com,WRB,9569.1
Motorola Solutions,403,13.0,7887.0,868.0,17000,Technology,Chicago,IL,no,no,no,yes,416.0,Gregory Q. Brown,https://www.motorolasolutions.com,MSI,29314
Thor Industries,404,-37.0,7864.8,133.3,21750,Motor Vehicles & Parts,Elkhart,IN,no,no,no,yes,367.0,Robert W. Martin,https://www.thorindustries.com,THO,2328.3
Regeneron Pharmaceuticals,405,45.0,7863.4,2115.8,8100,Health Care,Tarrytown,NY,no,yes,no,yes,450.0,Leonard Schleifer,https://www.regeneron.com,REGN,61028
Spirit AeroSystems Holdings,406,14.0,7863.1,530.1,18200,Aerospace & Defense,Wichita,KS,no,no,no,yes,420.0,Thomas C. Gentile III,https://www.spiritaero.com,SPR,2506.5
J.M. Smucker,407,7.0,7838.0,514.4,7400,"Food, Beverages & Tobacco",Orrville,OH,no,no,no,yes,414.0,Mark T. Smucker,https://www.jmsmucker.com,SJM,12658.2
PPL,408,-16.0,7769.0,1746.0,12280,Energy,Allentown,PA,no,no,no,yes,392.0,Vincent Sorgi,https://www.pplweb.com,PPL,18949.6
Insight Enterprises,409,21.0,7731.2,159.4,11261,Technology,Tempe,AZ,no,no,no,yes,430.0,Kenneth T. Lamneck,https://www.insight.com,NSIT,2842
Quest Diagnostics,410,-6.0,7726.0,858.0,47000,Health Care,Secaucus,NJ,no,no,no,yes,404.0,Stephen H. Rusckowski,https://www.questdiagnostics.com,DGX,17164
KeyCorp,411,2.0,7694.0,1717.0,17045,Financials,Cleveland,OH,no,no,no,yes,413.0,Christopher Gorman,https://www.key.com,KEY,10057.8
Veritiv,412,-65.0,7659.4,-29.5,8000,Wholesalers,Atlanta,GA,no,no,no,no,347.0,Salvatore A. Abbate,https://www.veritivcorp.com,VRTV,126.9
DCP Midstream,413,-93.0,7625.0,17.0,2250,Energy,Denver,CO,no,no,no,yes,320.0,Wouter T. van Kempen,https://www.dcpmidstream.com,DCP,847.9
American Tower,414,-4.0,7580.3,1887.8,5454,Financials,Boston,MA,no,no,no,yes,410.0,Thomas A. Bartlett,https://www.americantower.com,AMT,98962
Graybar Electric,415,8.0,7523.9,144.5,9000,Wholesalers,St. Louis,MO,no,no,yes,yes,423.0,Kathleen M. Mazzarella,https://www.graybar.com,,-
WEC Energy Group,416,-18.0,7523.1,1134.0,7509,Energy,Milwaukee,WI,no,no,no,yes,398.0,J. Kevin Fletcher,https://www.wecenergygroup.com,WEC,27799.2
NVR,417,7.0,7428.4,878.5,5700,Engineering & Construction,Reston,VA,no,no,no,yes,424.0,Paul C. Saville,https://www.nvrinc.com,NVR,15920
Ulta Beauty,418,31.0,7398.1,705.9,31000,Retailing,Bolingbrook,IL,no,no,yes,yes,449.0,Mary N. Dillon,https://www.ulta.com,ULTA,9893.6
Devon Energy,419,-122.0,7372.0,-355.0,1800,Energy,Oklahoma City,OK,no,no,no,no,297.0,David A. Hager,https://www.devonenergy.com,DVN,2645.8
Blackstone Group,420,22.0,7338.3,2049.7,2905,Financials,New York,NY,no,yes,no,yes,442.0,Stephen A. Schwarzman,https://www.blackstone.com,BX,30696.4
Dean Foods,421,-28.0,7328.7,-499.9,14500,"Food, Beverages & Tobacco",Dallas,TX,no,no,no,no,393.0,Gary W. Rahlfs,https://www.deanfoods.com,DFODQ,9.7
Fortive,422,0.0,7326.1,738.9,25000,Industrials,Everett,WA,no,no,no,yes,422.0,James A. Lico,https://www.fortive.com,FTV,23672
UGI,423,-23.0,7320.4,256.2,12800,Energy,King of Prussia,PA,no,no,no,yes,400.0,John L. Walsh,https://www.ugicorp.com,UGI,5562
Burlington Stores,424,27.0,7286.4,465.1,47000,Retailing,Burlington,NJ,no,no,no,yes,451.0,,https://www.burlingtoninvestors.com,BURL,10441.3
Builders FirstSource,425,-31.0,7280.4,221.8,15800,Materials,Dallas,TX,no,no,no,yes,394.0,M. Chad Crow,https://www.bldr.com,BLDR,1420.3
Toll Brothers,426,2.0,7224.0,590.0,5100,Engineering & Construction,Horsham,PA,no,no,no,yes,428.0,Douglas C. Yearley Jr.,https://www.tollbrothers.com,TOL,6075
Old Republic International,427,54.0,7213.7,1056.4,9000,Financials,Chicago,IL,no,no,no,yes,481.0,Craig R. Smiddy,https://www.oldrepublic.com,ORI,4634.9
Asbury Automotive Group,428,11.0,7210.3,184.4,8500,Retailing,Duluth,GA,no,no,no,yes,439.0,David W. Hult,https://www.asburyauto.com,ABG,1064.8
Arthur J. Gallagher,429,6.0,7195.0,668.8,33247,Financials,Rolling Meadows,IL,no,no,no,yes,435.0,J. Patrick Gallagher Jr.,https://www.ajg.com,AJG,15454.9
MasTec,430,6.0,7183.2,392.3,21000,Engineering & Construction,Coral Gables,FL,no,no,no,yes,436.0,José R. Mas,https://www.mastec.com,MTZ,6040
Owens Corning,431,0.0,7160.0,405.0,19000,Materials,Toledo,OH,no,no,no,yes,431.0,Brian D. Chambers,https://www.owenscorning.com,OC,4200.9
Magellan Health,432,-15.0,7159.4,55.9,10100,Health Care,Phoenix,AZ,no,no,no,yes,417.0,Kenneth J. Fasola,https://www.magellanhealth.com,MGLN,1188.2
Dover,433,-21.0,7136.4,677.9,24000,Industrials,Downers Grove,IL,no,no,no,yes,412.0,Richard J. Tobin,https://www.dovercorporation.com,DOV,12094.4
Beacon Roofing Supply,434,30.0,7105.2,-10.6,8147,Wholesalers,Herndon,VA,no,no,no,no,464.0,Julian G. Francis,https://www.becn.com,BECN,1138
Avery Dennison,435,-10.0,7070.1,303.6,30000,Materials,Glendale,CA,no,no,no,yes,425.0,Mitchell R. Butier,https://www.averydennison.com,AVY,8485.4
Hanesbrands,436,8.0,6966.9,600.7,63000,Apparel,Winston-Salem,NC,no,no,no,yes,444.0,Stephen B. Bratspies,https://www.hanes.com,HBI,2816.5
Packaging Corp. of America,437,-5.0,6964.3,696.4,15500,Materials,Lake Forest,IL,no,no,no,yes,432.0,Mark W. Kowlzan,https://www.packagingcorp.com,PKG,13321
M&T Bank,438,24.0,6941.3,1929.1,17386,Financials,Buffalo,NY,no,no,no,yes,462.0,René F. Jones,https://www.mtb.com,MTB,18440
NCR,439,26.0,6915.0,564.0,36000,Technology,Atlanta,GA,no,no,no,yes,465.0,Michael D. Hayford,https://www.ncr.com,NCR,2287
Northern Trust,440,13.0,6895.1,1492.2,19800,Financials,Chicago,IL,no,no,no,yes,453.0,Michael G. O&#039;Grady,https://www.northerntrust.com,NTRS,19730
Cintas,441,18.0,6892.3,885.0,45000,Business Services,Cincinnati,OH,no,no,no,yes,459.0,Scott D. Farmer,https://www.cintas.com,CTAS,18023.6
Polaris,442,34.0,6863.4,324.0,14000,Transportation,Medina,MN,no,no,no,yes,476.0,Michael T. Speetzen,https://www.polaris.com,PII,7219
CMS Energy,443,-3.0,6845.0,680.0,8459,Energy,Jackson,MI,no,no,yes,yes,440.0,Patricia K. Poppe,https://www.cmsenergy.com,CMS,16697.2
Seaboard,444,11.0,6840.0,283.0,13100,"Food, Beverages & Tobacco",Merriam,KS,no,no,no,yes,455.0,Robert L. Steer,https://www.seaboardcorp.com,SEB,3273.8
Intuit,445,37.0,6784.0,1557.0,9400,Technology,Mountain View,CA,no,no,no,yes,482.0,Sasan K. Goodarzi,https://www.intuit.com,INTU,102329
Regions Financial,446,1.0,6755.0,1582.0,19564,Financials,Birmingham,AL,no,no,no,yes,447.0,John M. Turner Jr.,https://www.regions.com,RF,8587.8
FM Global,447,0.0,6743.1,2479.3,5591,Financials,Johnston,RI,yes,no,no,yes, ,Thomas A. Lawson,https://www.fmglobal.com,,
Advanced Micro Devices (AMD),448,12.0,6731.0,341.0,11400,Technology,Santa Clara,CA,no,no,yes,yes,460.0,Lisa T. Su,https://www.amd.com,AMD,106741
Ovintiv,449,0.0,6726.0,234.0,2571,Energy,Denver,CO,yes,no,no,yes, ,Douglas J. Suttles,https://www.ovintiv.com,OVV,701.5
Booz Allen Hamilton Holding,450,25.0,6704.0,418.5,26100,Technology,McLean,VA,no,no,no,yes,475.0,Horacio D. Rozanski,https://www.boozallen.com,BAH,13101
S&P Global,451,19.0,6699.0,2123.0,22500,Business Services,New York,NY,no,no,no,yes,470.0,Douglas L. Peterson,https://www.spglobal.com,SPGI,77459
Rockwell Automation,452,0.0,6694.8,695.8,23000,Industrials,Milwaukee,WI,no,no,no,yes,452.0,Blake D. Moret,https://www.rockwellautomation.com,ROK,17533.3
O-I Glass,453,-15.0,6691.0,-400.0,27500,Materials,Perrysburg,OH,no,no,no,no,438.0,Andres A. Lopez,https://www.o-i.com,OI,1108.5
Wynn Resorts,454,-6.0,6611.1,123.0,30200,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes,448.0,Matthew O. Maddox,https://www.wynnresorts.com,WYNN,11874
Securian Financial Group,455,0.0,6600.6,434.8,6400,Financials,St. Paul,MN,yes,no,no,yes, ,Christopher M. Hilger,https://www.securian.com,,
Alliance Data Systems,456,-66.0,6580.9,278.0,8500,Business Services,Columbus,OH,no,no,no,yes,390.0,Ralph J. Andretta,https://www.alliancedata.com,ADS,1602.7
Weyerhaeuser,457,-51.0,6554.0,-76.0,9400,Materials,Seattle,WA,no,no,no,no,406.0,Devin W. Stockfish,https://www.weyerhaeuser.com,WY,12636.5
Brighthouse Financial,457,-115.0,6554.0,-740.0,1330,Financials,Charlotte,NC,no,no,no,no,342.0,Eric T. Steigerwalt,https://www.brighthousefinancial.com,BHF,2540.2
Intercontinental Exchange,459,10.0,6547.0,1933.0,5989,Financials,Atlanta,GA,no,yes,no,yes,469.0,Jeffrey Sprecher,https://www.intercontinentalexchange.com,ICE,56723
American Axle & Manufacturing,460,-42.0,6530.9,-484.5,20000,Motor Vehicles & Parts,Detroit,MI,no,no,no,no,418.0,David C. Dauch,https://www.aam.com,AXL,408.1
Hess,461,0.0,6510.0,-408.0,1775,Energy,New York,NY,no,no,no,no,461.0,John B. Hess,https://www.hess.com,HES,10163.6
ABM Industries,462,1.0,6498.6,127.4,140000,Business Services,New York,NY,no,no,no,yes,463.0,Scott B. Salmirs,https://www.abm.com,ABM,1623.1
Activision Blizzard,463,-58.0,6489.0,1503.0,9200,Media,Santa Monica,CA,no,no,no,yes,405.0,Robert A. Kotick,https://www.activisionblizzard.com,ATVI,73515
GameStop,464,-118.0,6466.0,-470.9,30000,Retailing,Grapevine,TX,no,no,no,no,346.0,George E. Sherman,https://www.gamestop.com,GME,225.6
APA,465,-54.0,6411.0,-3553.0,3163,Energy,Houston,TX,no,no,no,no,411.0,John J. Christmann IV,https://apacorp.com/,APA,6595
Science Applications International,466,0.0,6379.0,226.0,24311,Technology,Reston,VA,yes,no,yes,yes, ,Nazzic S. Keene,https://www.saic.com,SAIC,5882
AK Steel Holding,467,-24.0,6359.4,11.2,9300,Materials,West Chester,OH,no,no,no,yes,443.0,Lourenco C. Goncalves,https://www.aksteel.com,,
Dillard&#8217;s,468,-10.0,6343.2,111.1,30400,Retailing,Little Rock,AR,no,no,no,yes,458.0,William T. Dillard II,https://www.dillards.com,DDS,863.8
Ralph Lauren,469,4.0,6313.0,430.9,18650,Apparel,New York,NY,no,no,no,yes,473.0,Patrice Louvet,https://www.ralphlauren.com,RL,4928.3
Celanese,470,-44.0,6297.0,852.0,7714,Chemicals,Irving,TX,no,no,yes,yes,426.0,Lori J. Ryerkerk,https://www.celanese.com,CE,8775
R.R. Donnelley & Sons,471,-26.0,6276.2,-93.2,36400,Media,Chicago,IL,no,no,no,no,445.0,Daniel L. Knotts,https://www.rrd.com,RRD,68
Zoetis,472,15.0,6260.0,1500.0,10600,Health Care,Parsippany,NJ,no,no,yes,yes,487.0,Kristin C. Peck,https://www.zoetis.com,ZTS,55895
Ascena Retail Group,473,-16.0,6242.8,-661.4,33000,Retailing,Mahwah,NJ,no,no,yes,no,457.0,Carrie W. Teffner,https://www.ascenaretail.com,ASNA,13.9
Clorox,474,3.0,6214.0,820.0,8800,Household Products,Oakland,CA,no,no,yes,yes,477.0,Linda Rendle,https://www.thecloroxcompany.com,CLX,21673.5
Ingredion,475,11.0,6209.0,413.0,11000,"Food, Beverages & Tobacco",Westchester,IL,no,no,no,yes,486.0,James P. Zallie,https://www.ingredion.com,INGR,5300
First American Financial,476,15.0,6202.1,707.4,18412,Financials,Santa Ana,CA,no,no,no,yes,491.0,Dennis J. Gilmore,https://www.firstam.com,FAF,4790.6
Graphic Packaging Holding,477,3.0,6160.1,206.8,18000,Materials,Atlanta,GA,no,no,no,yes,480.0,Michael P. Doss,https://www.graphicpkg.com,GPK,3542
NetApp,478,5.0,6146.0,1169.0,10500,Technology,Sunnyvale,CA,no,no,no,yes,483.0,George Kurian,https://www.netapp.com,NTAP,9220.9
HD Supply Holdings,478,1.0,6146.0,452.0,11500,Wholesalers,Atlanta,GA,no,no,no,yes,479.0,Joseph J. DeAngelo,https://www.hdsupply.com,,-
TravelCenters of America,480,-47.0,6117.4,33.3,18594,Retailing,Westlake,OH,no,no,no,yes,433.0,Jonathan M. Pertchik,https://www.ta-petro.com,TA,81.2
Olin,481,-47.0,6110.0,-11.3,6500,Chemicals,Clayton,MO,no,no,no,no,434.0,Scott M. Sutton,https://www.olin.com,OLN,1841.8
Robert Half International,482,8.0,6074.4,454.4,16000,Business Services,Menlo Park,CA,no,no,no,yes,490.0,M. Keith Waddell,https://www.roberthalf.com,RHI,7602
EnLink Midstream,483,-87.0,6052.9,-1119.3,1355,Energy,Dallas,TX,no,no,no,no,396.0,Barry E. Davis,https://www.enlink.com,ENLC,537.3
Avantor,484,0.0,6040.3,37.8,12000,Technology,Radnor,PA,yes,no,no,yes, ,Michael Stubblefield,https://www.avantorsciences.com,AVTR,7155.6
Tapestry,485,-1.0,6027.1,643.4,17400,Apparel,New York,NY,no,no,yes,yes,484.0,Joanne Crevoiserat,https://www.tapestry.com,TPR,3574.6
TD Ameritrade Holding,486,0.0,6016.0,2208.0,9226,Financials,Omaha,NE,yes,no,no,yes, ,Stephen J. Boyle,https://www.amtd.com,,18738.8
Analog Devices,487,-15.0,5991.1,1363.0,16400,Technology,Norwood,MA,no,no,no,yes,472.0,Vincent T. Roche,https://www.analog.com,ADI,33010.9
Ameren,488,-20.0,5910.0,828.0,9323,Energy,St. Louis,MO,no,no,no,yes,468.0,Warner L. Baxter,https://www.ameren.com,AEE,17969.9
Williams-Sonoma,489,6.0,5898.0,356.1,19300,Retailing,San Francisco,CA,no,no,yes,yes,495.0,Laura J. Alber,https://www.williams-sonomainc.com,WSM,7238
Realogy Holdings,490,-12.0,5870.0,-188.0,10150,Financials,Madison,NJ,no,no,no,no,478.0,Ryan M. Schneider,https://www.realogy.com,RLGY,346.9
Commercial Metals,491,0.0,5829.0,198.1,11524,Materials,Irving,TX,yes,no,yes,yes, ,Barbara R. Smith,https://www.cmc.com,CMC,1880
Rush Enterprises,492,0.0,5809.8,141.6,7244,Retailing,New Braunfels,TX,yes,no,no,yes, ,W. M. Rush,https://www.rushenterprises.com,RUSHB,1145.6
Franklin Resources,493,-26.0,5774.5,1195.7,9597,Financials,San Mateo,CA,no,no,yes,yes,467.0,Jennifer M. Johnson,https://www.franklinresources.com,BEN,8293.2
Fortune Brands Home & Security,494,0.0,5764.6,431.9,24700,Household Products,Deerfield,IL,yes,no,no,yes, ,Nicholas I. Fink,https://www.fbhs.com,FBHS,12761
Levi Strauss,495,5.0,5763.1,394.6,15800,Apparel,San Francisco,CA,no,no,no,yes,500.0,Charles V. Bergh,https://www.levistrauss.com,LEVI,8393
Crown Castle International,496,0.0,5763.0,860.0,5100,Financials,Houston,TX,yes,no,no,yes, ,Jay A. Brown,https://www.crowncastle.com,CCI,60178.6
Simon Property Group,497,-1.0,5755.2,2101.6,3750,Financials,Indianapolis,IN,no,no,no,yes,496.0,David E. Simon,https://www.simon.com,SPG,31269
Cerner,498,0.0,5692.6,529.5,27400,Health Care,North Kansas City,MO,yes,no,no,yes, ,D. Brent Shafer,https://www.cerner.com,CERN,19164.4
Post Holdings,499,-28.0,5681.1,124.7,10100,"Food, Beverages & Tobacco",St. Louis,MO,no,no,no,yes,471.0,Robert V. Vitale,https://www.postholdings.com,POST,5732
