Sr No,Date ddmmyyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investorsxe2x80x99 Name,InvestmentnType,Amount in USD,Remarks
1354,13/9/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"2,500,000",nan
1355,14/9/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,N/A,nan
1356,14/9/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"150,000",nan
1357,14/9/2016,LensPick,eCommerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,N/A,nan
1358,15/9/2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"200,000",nan
1359,15/9/2016,Furlenco,eCommerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,"5,000,000",nan
1360,15/9/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,"1,500,000",nan
1361,16/9/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"100,000",nan
1362,16/9/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,"1,000,000",nan
1363,19/9/2016,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,"750,000",nan
1364,19/9/2016,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capital,Private Equity,N/A,nan
1365,19/9/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,"15,000,000",nan
1366,20/9/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,N/A,nan
1367,20/9/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"500,000",nan
1368,20/9/2016,JoeHukum,Technology,Enterprise customer engagement solutions,New Delhi,Sumit Jain,Seed Funding,N/A,nan
1369,21/9/2016,Co Life,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000",nan
1370,21/9/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,N/A,nan
1371,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"31,300,000",nan
1372,21/9/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"298,000",nan
1373,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,"350,000",nan
1374,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,"6,000,000",nan
1375,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,N/A,nan
1376,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,"425,000",nan
1377,22/9/2016,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,"1,000,000",nan
1378,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000",nan
1379,23/9/2016,\\xc2\\xa0CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"6,000,000",nan
1380,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,N/A,nan
1381,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,N/A,nan
1382,23/9/2016,inMotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,N/A,nan
1383,26/9/2016,Let\xe2\x80\x99s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,N/A,nan
1384,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,N/A,nan
1385,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"1,580,000",nan
1386,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,N/A,nan
1387,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"500,000",nan
1388,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"1,000,000",nan
1389,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"1,000,000",nan
1390,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"51,000,000",nan
1391,29/9/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"180,000",nan
1392,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,N/A,nan
1393,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"1,500,000",nan
1394,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A,nan
1395,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000",nan
1396,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,N/A,nan
1401,01/8/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"12,000,000",nan
1402,01/8/2016,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"200,000",nan
1403,01/08/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"275,000",nan
1404,01/08/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,"3,000,000",nan
1405,01/08/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"2,500,000",nan
1406,02/08/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"1,800,000",nan
1407,02/08/2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,N/A,nan
1408,02/08/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"1,000,000",nan
1409,03/08/2016,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,N/A,nan
1410,03/08/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"225,000",nan
1411,03/08/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"890,000",nan
1412,04/08/2016,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"500,000",nan
1413,04/08/2016,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,N/A,nan
1414,05/08/2016,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,N/A,nan
1415,06/08/2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000",nan
1416,08/08/2016,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,N/A,nan
1417,08/08/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000",nan
1418,08/08/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,"445,000",nan
1419,08/08/2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,"200,000",nan
1420,09/08/2016,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A,nan
1421,09/08/2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A,nan
1422,10/08/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"500,000",nan
1423,10/08/2016,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"600,000",nan
1424,11/08/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"7,000,000",nan
1425,11/08/2016,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,N/A,nan
1426,11/08/2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,"209,000",nan
1427,11/08/2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"15,000,000",nan
1428,12/08/2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"1,500,000",nan
1429,12/08/2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,"1,500,000",nan
1430,12/08/2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"15,600,000",nan
1431,12/08/2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,"500,000",nan
1432,12/08/2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,N/A,nan
1433,15/08/2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,N/A,nan
1434,16/08/2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,N/A,nan
1435,16/08/2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,"62,000,000",nan
1436,16/08/2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"175,000,000",nan
1437,16/08/2016,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"500,000",nan
1438,16/08/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,"1,500,000",nan
1439,16/08/2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"250,000",nan
1440,16/08/2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,N/A,nan
1441,17/08/2016,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"375,000",nan
1442,17/08/2016,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,N/A,nan
1443,17/08/2016,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"675,000",nan
1444,17/08/2016,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,N/A,nan
1445,18/08/2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,N/A,nan
1446,18/08/2016,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,N/A,nan
1447,19/08/2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"20,000,000",nan
1448,19/08/2016,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,"375,000",nan
1449,19/08/2016,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,N/A,nan
1450,22/08/2016,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,N/A,nan
1451,22/08/2016,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,"37,000,000",nan
1452,22/08/2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,N/A,nan
1453,23/08/2016,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,N/A,nan
1454,23/08/2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"100,000",nan
1455,23/08/2016,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,N/A,nan
1456,23/08/2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"200,000",nan
1457,24/08/2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,N/A,nan
1458,24/08/2016,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"1,000,000",nan
1459,24/08/2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"100,000",nan
1460,24/08/2016,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,"500,000",nan
1461,24/08/2016,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,N/A,nan
1462,24/08/2016,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"500,000",nan
1463,24/08/2016,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,"900,000",nan
1464,24/08/2016,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,"3,000,000",nan
1465,24/08/2016,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,N/A,nan
1466,25/08/2016,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,N/A,nan
1467,25/08/2016,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,"3,000,000",nan
1468,25/08/2016,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,N/A,nan
1469,25/08/2016,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,N/A,nan
1470,25/08/2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,"24,000,000",nan
1471,26/08/2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,"500,000",nan
1472,26/08/2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"40,000,000",nan
1473,26/08/2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"550,000",nan
1474,26/08/2016,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,N/A,nan
1475,29/08/2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"3,000,000",nan
1476,29/08/2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"7,000,000",nan
1477,29/08/2016,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,N/A,nan
1478,29/08/2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,"1,000,000",nan
1479,29/08/2016,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"15,000,000",nan
1480,30/8/2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,"149,000",nan
1481,30/8/2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"104,000",nan
1482,30/8/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,"60,000,000",nan
1483,30/8/2016,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,"2,000,000",nan
1484,30/8/2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,"3,000,000",nan
1485,30/8/2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,N/A,nan
1486,31/8/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"5,300,000",nan
1487,31/8/2016,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,N/A,nan
1490,01/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,N/A,nan
1491,01/7/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,N/A,nan
1492,01/07/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"500,000",nan
1493,01/07/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,N/A,nan
1494,02/07/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"700,000",nan
1495,04/07/2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,N/A,nan
1496,04/07/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"15,000,000",nan
1497,04/07/2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"200,000",nan
1498,04/07/2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"2,000,000",nan
1499,04/07/2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,N/A,nan
1500,04/07/2016,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"16,000,000",nan
1501,05/07/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,"1,000,000",nan
1502,05/07/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"82,000,000",nan
1503,05/07/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,"1,700,000",nan
1504,06/07/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,"740,000",nan
1505,06/07/2016,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"250,000",nan
1506,06/07/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"297,000",nan
1507,07/07/2016,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"2,000,000",nan
1508,07/07/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,"1,000,000",nan
1509,07/07/2016,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,N/A,nan
1510,07/07/2016,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,N/A,nan
1511,08/07/2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,N/A,nan
1512,08/07/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"1,950,000",nan
1513,11/07/2016,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"6,000,000",nan
1514,11/07/2016,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,"3,500,000",nan
1515,11/07/2016,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"3,000,000",nan
1516,12/07/2016,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,"12,250,000",nan
1517,12/07/2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,N/A,nan
1518,12/07/2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,N/A,nan
1519,12/07/2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,N/A,nan
1520,12/07/2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,N/A,nan
1521,13/07/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,"5,000,000",nan
1522,13/07/2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,N/A,nan
1523,13/07/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"600,000",nan
1524,13/07/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,"1,350,000",nan
1525,13/07/2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,N/A,nan
1526,13/07/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"5,000,000",nan
1527,13/07/2016,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,N/A,nan
1528,13/07/2016,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,N/A,nan
1529,14/07/2016,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,"450,000",nan
1530,14/07/2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"1,070,000",nan
1531,14/07/2016,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,N/A,nan
1532,15/07/2016,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,"1,000,000",nan
1533,15/07/2016,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,"2,000,000",nan
1534,15/07/2016,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,N/A,nan
1535,15/07/2016,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,"250,000",nan
1536,15/07/2016,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,N/A,nan
